Year,Date,OPP,FanDuel,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,SF,E,AVG,OBP,SLG,OPS
2017,3-Apr,Pit,18,4,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0.5,0.5,0.5,1
2017,5-Apr,Pit,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0.222,0.222,0.222,0.444
2017,7-Apr,@Det,,DNP,,,,,,,,,,,,,,,,,,
2017,8-Apr,@Det,,DNP,,,,,,,,,,,,,,,,,,
2017,9-Apr,@Det,,DNP,,,,,,,,,,,,,,,,,,
2017,10-Apr,@Det,,DNP,,,,,,,,,,,,,,,,,,
2017,11-Apr,Bal,6.2,4,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0.167,0.231,0.167,0.398
2017,12-Apr,Bal,19.2,5,5,1,3,0,0,0,2,0,0,0,0,0,0,0,0.294,0.333,0.294,0.627
2017,13-Apr,Pit,9.5,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0.333,0.364,0.333,0.697
2017,14-Apr,TB,15.5,5,4,0,3,0,0,0,1,1,0,0,0,0,0,0,0.4,0.444,0.4,0.844
2017,15-Apr,TB,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.393,0.433,0.393,0.826
2017,16-Apr,TB,9.2,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0.375,0.412,0.406,0.818
2017,17-Apr,TB,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333,0.368,0.361,0.729
2017,18-Apr,@Tor,9.2,5,5,1,2,0,0,0,0,0,1,0,0,0,0,1,0.341,0.372,0.366,0.738
2017,19-Apr,@Tor,6,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0.341,0.383,0.364,0.747
2017,20-Apr,@Tor,6.5,4,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0.333,0.373,0.354,0.727
2017,21-Apr,@Bal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.373,0.354,0.727
2017,22-Apr,@Bal,6.2,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0.321,0.357,0.34,0.697
2017,23-Apr,@Bal,15.4,5,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0.333,0.377,0.351,0.728
2017,26-Apr,NYY,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.311,0.354,0.328,0.682
2017,27-Apr,NYY,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.313,0.353,0.328,0.681
2017,28-Apr,ChC,6,4,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0.313,0.361,0.328,0.689
2017,29-Apr,ChC,12.2,4,4,1,1,0,1,0,0,0,1,0,0,0,0,1,0.31,0.355,0.352,0.707
2017,30-Apr,ChC,12.2,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0.315,0.375,0.356,0.731
2017,1-May,Bal,12.2,4,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0.325,0.381,0.377,0.758
2017,2-May,Bal,9.2,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0.333,0.386,0.383,0.769
2017,3-May,Bal,18.4,4,3,2,1,0,0,0,0,0,0,1,0,1,0,0,0.333,0.391,0.381,0.772
2017,4-May,Bal,6.5,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0.33,0.385,0.375,0.76
2017,5-May,@Min,3,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.326,0.38,0.37,0.75
2017,6-May,@Min,15.2,6,6,1,3,1,0,0,0,0,1,0,0,0,0,0,0.337,0.387,0.388,0.775
2017,7-May,@Min,34.6,6,5,3,2,1,1,0,2,0,0,0,0,1,0,0,0.34,0.393,0.417,0.81
2017,9-May,@Mil,9.2,5,5,1,1,1,0,0,0,0,2,0,0,0,0,0,0.333,0.385,0.417,0.802
2017,10-May,@Mil,15.5,5,4,0,2,1,0,0,1,1,1,0,0,0,0,0,0.339,0.393,0.429,0.822
